,Homo,Pan,Musa,Zea,Ficus,Arachis,Citrus,Cannabis,Corchorus,Population
104,3776.0,0.0,237,2,0,15,959,0,0,Human
105,784.0,0.0,714,248,0,11,389,0,0,Human
106,6194.0,79.0,565,13,23,21,1151,5275,0,Human
107,3662.0,0.0,219,8,0,29,1032,0,0,Human
108,4678.0,0.0,9,10,0,1,544,0,0,Human
109,2899.0,0.0,0,479,0,30,1197,0,0,Human
110,9455.0,296.0,199,8,0,0,1110,0,0,Human
111,7747.0,0.0,0,60,0,301,742,0,0,Human
112,4922.0,0.0,2,13,0,5,1134,0,0,Human
113,4252.0,0.0,0,21,0,8,636,0,0,Human
114,10632.0,0.0,7521,49,0,0,1260,0,0,Human
115,4591.0,0.0,0,52,0,97,1075,0,0,Human
116,3533.0,0.0,0,16,0,2,786,0,0,Human
117,16847.0,270.0,11812,63,0,16,971,0,0,Human
118,56891.0,206.0,0,429,0,5,2041,0,0,Human
119,7155.0,0.0,123,79,0,11,868,0,0,Human
120,2088.0,0.0,1345,28,0,3,1697,0,0,Human
121,3895.0,0.0,2355,1621,0,92,1022,0,0,Human
122,2386.0,0.0,300,0,0,0,517,0,0,Human
123,1193.0,0.0,3,0,0,8,782,0,0,Human
124,11138.0,0.0,0,265,0,23,1577,0,0,Human
125,27043.0,181.0,0,75,1,9,1242,0,0,Human
126,3774.0,104.0,13,9,0,56,616,0,0,Human
127,16800.0,142.0,18619,23,0,7,1503,0,0,Human
128,1601.0,0.0,587,14,0,12,843,0,0,Human
129,1474.0,142.0,745,19,1,8,438,0,0,Human
130,8093.0,0.0,0,2,0,1,528,0,0,Human
131,1309.0,0.0,47,15,0,1,894,0,0,Human
132,3382.0,115.0,416,0,0,2,1396,0,0,Human
133,3902.0,0.0,0,24,1,3,653,0,0,Human
134,7402.0,0.0,1,0,0,4,1194,0,0,Human
135,2428.0,161.0,376,1,0,29,720,0,0,Human
136,2534.0,0.0,61,3,0,21,1658,0,0,Human
137,3248.0,0.0,3,4,0,2,354,0,0,Human
138,4193.0,0.0,12,4,0,22,1045,0,0,Human
139,1391.0,146.0,172,15,0,5,742,5620,0,Human
140,2427.0,126.0,240,30,0,38,1145,0,0,Human
